entidad,entidad_departamento,descripcion_item,monto_referencial_item_soles,monto_adjudicado_item_soles,diferencia_pct_cap,dias_proceso,proveedor
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE 14,1252.0,4697.4,275.1916932907348,38,DSCIENCE GLOBAL INTERNATIONAL S.A.C.
FUERZA AEREA DEL PERU,LIMA,ITEM73,3024.8,11282.5,272.9998677598519,34,"KOREA AEROSPACE INDUSTRIES, LTD"
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,SONDAS DE TEMPERATURA Y HUMEDAD DEL SUELO,1260.0,4680.0,271.42857142857144,15,JH TUMAY E.I.R.L.
PROGRAMA DE DESARROLLO DE SANIDAD AGROPECUARIA,LIMA,BOLSA DE POLIETILENO 30CM X 20 CM (PAQUETE X 100 UNIDADES),2421.36,8901.0,267.6033303597978,617,CORPORACION JOLUCAVA SOCIEDAD ANONIMA CERRADA - CORPORACION JOLUCAVA S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT PARA EXTRACCI¿N SUELO,5000.0,18231.0,264.62,34,BM CORPORACION PERUANA S.A.C.
FUERZA AEREA DEL PERU,LIMA,SEMICONDUCTOR DEVICE DIODE N/P JAN1N4948,1556.22418,5603.81,260.0901510218149,49,AERO VERTOL LLC
"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS SEGURIDAD,ARMAS,MUNICIONES Y EXPLOSIVOS USO CIVIL",LIMA,SERVICIO DE ARRENDAMIENTO DE INMUEBLE PARA LA INTENDENCIA LAMBAYEQUE DE LA SUCAMEC,90000.0,324000.0,260.0,0,CABREJO SAAVEDRA DE CABRERA IRIS BERCELIA
MUNICIPALIDAD PROVINCIAL DE TALARA - PARIÑAS,PIURA,"ADQUISICION DE ARROZ PILADO CORRIENTE DE CLASE MEDIANO, PARA EL PROGRAMA COMPLEMENTACI¿N ALIMENTARIA PCA DE LA MUNICIPALIDAD PROVINCIAL DE TALARA",71851.43,258200.0,259.3526252713412,8,GARCIA RAMIREZ SERVICIOS GENERALES SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,MASTER MIX QPCR,1750.0,6099.42,248.5382857142857,32,J & B LAB S.A.C.
MUNICIPALIDAD DISTRITAL DE KIMBIRI,CUSCO,"CONTRATACION PARA LA ADQUISICION DE MARCO Y TAPA EN GENERAL PARA EL PROYECTO: ""AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SISTEMA DE ALCANTARILLADO EN LA ZONA I EN LA LOCALIDAD DE KIMBIRI DEL DISTRITO DE KIMBIRI, PROVINCIA DE LA CONVENCION - DEPARTAME",114950.0,398000.0,246.2374945628534,17,INVERSIONES CONSTRUMAX E.I.R.L.
